state,bea,industry,output_type1,output_type2,direct_jobs,jobs_type1,jobs_type2,labor_type2,va_type2,jobs_multiplier,direct_jobs_se,jobs_type2_se,labor_type2_se,output_type2_se
AK,313TT,Textile mills and textile product mills,1.3239056514037855,1.6519160507068849,9.581221911129038,10.604328792047404,11.898361970618312,0.5350268294609806,0.7225898953229342,1.2418418110948675,12.598835617422967,15.925765714964133,0.5764534915105071,1.6773136106280384
AK,315AL,Apparel and leather and allied products,1.438834737217929,1.8011119867770184,7.940502152882626,9.21051309488109,10.639732356730415,0.5909204361485378,0.9896740286449573,1.339931927714155,22.96583494723339,27.475511561889736,0.8246840345194462,1.9444260918311902
AK,322,Paper products,1.4472404666865424,1.8147782229261855,5.36061809024078,6.685690472012376,8.135662948379261,0.5995009940108319,0.8364255719429813,1.517672554064346,5.385328967642581,9.59850098775952,0.6591433649226021,1.8513433385819045
AK,323,Printing and related support activities,1.3116844287097795,1.6758637331890396,6.451901645265027,7.430129880873906,8.866852935832814,0.5940229305071361,0.8916345004023557,1.3743006982042405,8.338739843024538,12.210168438250689,0.7454844587365991,1.7687206772111839
AK,324,Petroleum and coal products,1.4454540084547183,1.5513190884268142,0.3598938825913345,0.6881761572251518,1.105824275172061,0.1726794583599898,0.5964210560741056,3.0726398215213426,0.3683424638605494,1.371258984169197,0.1877334761669671,1.560548297356312
AK,325,Chemical products,1.301924471849026,1.5734258958384844,2.6949896165038756,3.5224315524526726,4.593531284101599,0.44285347775511413,0.846926747362025,1.7044708654798608,2.8031524437488677,5.9137731170715275,0.5848549039162785,1.6604831085462257
AK,326,Plastics and rubber products,1.3968222173954499,1.6061497786653858,3.729868324467443,4.89722646609198,5.72304421470039,0.34143997160761475,0.672366213164616,1.5343823740795288,4.724395771198396,7.875345168079172,0.4451665277426685,1.6697417094298153
AK,42,Wholesale trade,1.30603362441367,1.5320891537259893,2.262321731145773,3.2553903767012757,4.147201599001101,0.36872542269104686,0.8940822083999702,1.8331617213881928,2.619447231638624,5.599496878358631,0.42481800564115274,1.5664779909174678
AK,441,Motor vehicle and parts dealers,1.1672270844849333,1.4738404926913333,4.190774133405028,4.664455560587026,5.874075511834834,0.5001256058083341,0.9503904181417698,1.401668361225212,4.608978775967068,7.240359930024615,0.5763752053088241,1.520587048567896
AK,445,Food and beverage stores,1.224947111248916,1.6036047947614072,10.439974467828531,10.986860136500956,12.480701815993518,0.6176390147725804,1.0260671780493869,1.195472446264464,11.633767561545314,14.967863319550087,0.7504666702127764,1.685037818117129
AK,452,General merchandise stores,1.1215610289314633,1.4776237944818804,11.525671538358742,11.829943164101813,13.234645677360215,0.5807838194956503,0.939566223444842,1.1482754504424157,12.209995865013253,14.717703956103511,0.6411694555150552,1.5146445857622937
AK,4A0,Other retail,1.1883789278320114,1.440603590985064,4.997843358720373,5.508209300457817,6.50326032099672,0.4114106202893384,0.8760678040125849,1.3012133142687745,6.620411095567959,9.106752592060177,0.5059926286569777,1.4985892481955894
AK,481,Air transportation,1.0999982279671023,1.382632787925185,2.7669565448966167,3.0363399759633496,4.151361020337575,0.4610130435856698,0.7640924932888039,1.5003347370938507,2.9775058745309417,4.964400170112632,0.49331429076351274,1.4024358041504956
AK,482,Rail transportation,1.1863839031634553,1.3999919076476572,1.6988470203555528,2.0926822086463766,2.9353867253268278,0.3484219208582548,0.8114093098679227,1.727869955419811,1.6988470203555528,3.5292200496930652,0.37165948562290096,1.4142382266686346
AK,483,Water transportation,1.0475090740098605,1.168288354978669,0.9284095566048893,1.0547198184354505,1.531205921283529,0.19700642387745126,0.4436395232703062,1.6492785004098967,1.1074404305126646,1.9939155040595835,0.21708920088049385,1.1806005594161921
AK,484,Truck transportation,1.3525187214284526,1.6475705257545636,2.9219355372062856,3.983071075472567,5.147079366082858,0.4812671541229674,0.8633462425364617,1.7615307731956578,3.844170924752781,7.460416764372295,0.5885076965538597,1.7133167859555274
AK,485,Transit and ground passenger transportation,1.1729167431354361,1.3651903429628334,3.084722116979066,3.657203799377639,4.415741998375425,0.31362278367778956,0.6879263837501933,1.4314877745616368,12.73166011055143,15.347797697021585,0.5329719013447276,1.499667321893404
AK,486,Pipeline transportation,1.0027977696143917,1.0405713826267713,0.26111722159175793,0.2695218877686496,0.41854249387251535,0.06161358435658991,0.7090281760345845,1.6028911893329003,0.27798449597018976,0.5012455835072772,0.06736947991362835,1.0441001656635285
AK,487OS,Other transportation and support activities,1.1689936921981254,1.5051450532872679,3.8371622009209054,4.424893922336446,5.751043993173573,0.5483057772699617,0.8989550883918791,1.498775316767517,7.041671900932567,9.97864299005753,0.6101327829536476,1.5430495091113845
AK,493,Warehousing and storage,1.3394825840200664,1.8559252876546883,7.307439705839899,8.231301296397394,10.268718386690688,0.8423839698709125,1.153791513403484,1.4052416167709492,8.472363406200698,13.01924175275726,0.9491286555419223,1.9213675515607926
AK,511,"Publishing industries, except internet (includes software)",1.275148401671605,1.7274478082625015,3.0839876668450605,4.021851536493004,5.806217032282401,0.7377580649563366,1.1206152297018157,1.8826978767467637,4.385146895157038,9.093809653409721,1.0004262139139073,1.888482507233729
AK,512,Motion picture and sound recording industries,1.3034920415062838,1.5457785653145304,5.387108108889067,6.434988357356738,7.390832443991217,0.395200246485061,0.8925502674154989,1.3719480460761273,10.109864724790263,15.731794017543297,0.8691664206528121,1.8363543373773115
AK,513,Broadcasting and telecommunications,1.1761517952591907,1.3226536157335154,1.4343544070299241,1.8679461186187274,2.445910161275902,0.2389631691104077,0.7129565158211381,1.7052341801218966,1.5155949532575321,3.253596480490185,0.2838301416136274,1.350160336435968
